CO2,Pressure,Temperature,Humidity, Room, Position, Sensor ID,time
1551,96643,30.31,24.574,none,Calibration,B8:27:EB:98:CF:BA,1675874199
1546,96633,29.121,19.422,none,Calibration,B8:27:EB:0F:85:C3,1675874200
1506,96636,29.962,24.134,none,Calibration,B8:27:EB:34:50:CA,1675874202
1571,96644,30.467,18.104,none,Calibration,B8:27:EB:86:0C:42,1675874204
1502,96622,30.609,18.145,none,Calibration,7C:3F:E7:16:00:69,1675874266
1577,96625,30.491,18.701999999999998,none,Calibration,B8:27:EB:B1:D5:C6,1675874268
1535,96640,30.307,24.497,none,Calibration,B8:27:EB:98:CF:BA,1675874269
,,,none,Calibration,B8:27:EB:0F:85:C3,1675874270
,,,none,Calibration,B8:27:EB:34:50:CA,1675874270
1565,96634,30.459,18.07,none,Calibration,B8:27:EB:86:0C:42,1675874272
1487,96622,30.627,18.106,none,Calibration,7C:3F:E7:16:00:69,1675874334
1565,96624,30.518,18.653,none,Calibration,B8:27:EB:B1:D5:C6,1675874336
1527,96649,30.28,24.404,none,Calibration,B8:27:EB:98:CF:BA,1675874337
1529,96641,29.103,19.23,none,Calibration,B8:27:EB:0F:85:C3,1675874340
,,,none,Calibration,B8:27:EB:34:50:CA,1675874340
1560,96644,30.451,17.97,none,Calibration,B8:27:EB:86:0C:42,1675874342
1483,96618,30.643,18.046,none,Calibration,7C:3F:E7:16:00:69,1675874404
1557,96626,30.47,18.557,none,Calibration,B8:27:EB:B1:D5:C6,1675874405
1524,96638,30.291,24.327,none,Calibration,B8:27:EB:98:CF:BA,1675874407
1517,96640,29.135,19.216,none,Calibration,B8:27:EB:0F:85:C3,1675874408
1474,96627,29.979,23.913,none,Calibration,B8:27:EB:34:50:CA,1675874410
1543,96638,30.459,17.889,none,Calibration,B8:27:EB:86:0C:42,1675874412
1475,96626,30.625,17.955,none,Calibration,7C:3F:E7:16:00:69,1675874474
1549,96618,30.505,18.515,none,Calibration,B8:27:EB:B1:D5:C6,1675874475
1517,96651,30.315,24.27,none,Calibration,B8:27:EB:98:CF:BA,1675874477
1509,96649,29.121,19.132,none,Calibration,B8:27:EB:0F:85:C3,1675874479
1468,96641,29.989,23.847,none,Calibration,B8:27:EB:34:50:CA,1675874480
,,,none,Calibration,B8:27:EB:86:0C:42,1675874481
1460,96621,30.614,17.901,none,Calibration,7C:3F:E7:16:00:69,1675874542
1543,96631,30.526,18.449,none,Calibration,B8:27:EB:B1:D5:C6,1675874544
1503,96647,30.283,24.223,none,Calibration,B8:27:EB:98:CF:BA,1675874545
1497,96638,29.127,19.061,none,Calibration,B8:27:EB:0F:85:C3,1675874547
